# DraftBoard Session Export
# Exported: 2026-09-21T12:54:30.063Z
# OurPicksLeft: 
overall,player,position,team,playerId
1,"Fernando Mendoza","QB","LV","p_y6yfnvpp"
2,"David Bailey","EDGE","NYJ","p_d7ii7hat"
3,"Jeremiyah Love","RB","ARI","p_hpq8ll3g"
4,"Carnell Tate","WR","TEN","p_6xgbndnw"
5,"Arvell Reese","EDGE","NYG","p_7ezdk58l"
6,"Mansoor Delane","CB","KC","p_ry3pby1z"
7,"Sonny Styles","LB","WSH","p_y0lt3doj"
8,"Jordyn Tyson","WR","NO","p_ho50e72a"
9,"Spencer Fano","OT","CLE","p_mwpj4tuy"
10,"Francis Mauigoa","IOL","NYG","p_0hmvxc4l"
11,"Caleb Downs","S","DAL","p_eemrbs55"
12,"Kadyn Proctor","OT","MIA","p_e3ph45qr"
13,"Ty Simpson","QB","LAR","p_axgicd9j"
14,"Olaivavega Ioane","IOL","BAL","p_o5vwl579"
15,"Rueben Bain Jr","EDGE","TB","p_s8w6pb9o"
16,"Kenyon Sadiq","TE","NYJ","p_4nexyd8p"
17,"Blake Miller","OT","DET","p_o0g4hu9v"
18,"Caleb Banks","DL","MIN","p_nyaoitg1"
19,"Monroe Freeling","OT","CAR","p_hn9vlaw6"
20,"Makai Lemon","WR","PHI","p_p1dgi5vy"
21,"Max Iheanachor","OT","PIT","p_begp12fi"
22,"Akheem Mesidor","EDGE","LAC","p_ly3oqasz"
23,"Malachi Lawrence","EDGE","DAL","p_fhda0kiy"
24,"Kevin Concepcion","WR","CLE","p_spueb1zu"
25,"Dillon Thieneman","S","CHI","p_df871cfh"
26,"Keylan Rutledge","IOL","HOU","p_p964lba5"
27,"Chris Johnson","CB","MIA","p_698e4uhw"
28,"Caleb Lomu","OT","NE","p_acaoh4na"
29,"Peter Woods","DL","KC","p_yvuw0nm1"
30,"Omar Cooper Jr","WR","NYJ","p_sv8k220x"
31,"Keldric Faulk","DL","TEN","p_93kmqiqu"
32,"Jadarian Price","RB","SEA","p_d3g82rrm"
33,"De'Zhaun Stribling","WR","SF","p_jk4olazo"
34,"Chase Bisontis","IOL","ARI","p_wk3olf83"
35,"TJ Parker","EDGE","BUF","p_fgttqmds"
36,"Kayden McDonald","DL","HOU","p_niiemx4i"
37,"Colton Hood","CB","NYG","p_6xgz4akv"
38,"Treydan Stukes","CB","LV","p_3auuor1f"
39,"Denzel Boston","WR","CLE","p_fk0n0g0s"
40,"R Mason Thomas","EDGE","KC","p_47e20m0i"
41,"Cashius Howell","EDGE","CIN","p_3wh36ywi"
42,"Christen Miller","DL","NO","p_i92tbwto"
43,"Jacob Rodriguez","LB","MIA","p_q1g1n49f"
44,"Derrick Moore","EDGE","DET","p_skl8zx4a"
45,"Zion Young","EDGE","BAL","p_wd914w6j"
46,"Josiah Trotter","LB","TB","p_i9m61jb7"
47,"Germie Bernard","WR","PIT","p_y193kcn5"
48,"Avieon Terrell","CB","ATL","p_n5pdymlf"
49,"Lee Hunter","DL","CAR","p_fgq032ch"
50,"D'Angelo Ponds","URA","NYJ","p_folw588z"
51,"Jake Golday","LB","MIN","p_t5p0lyvl"
52,"Brandon Cisse","CB","GB","p_q160yj0r"
53,"CJ Allen","LB","IND","p_ilnd60u4"
54,"Eli Stowers","TE","PHI","p_k20387do"
55,"Gabe Jacas","EDGE","NE","p_aszg7qaw"
56,"Nate Boerkircher","TE","JAX","p_ngnnooai"
57,"Logan Jones","IOL","CHI","p_u5fm0l7r"
58,"Emmanuel McNeil-Warren","S","CLE","p_jeoz0k94"
59,"Marlin Klein","TE","HOU","p_ohcuy0qv"
60,"Anthony Hill Jr","LB","TEN","p_m28dl6gj"
61,"Max Klare","TE","LAR","p_yfbjn7rs"
62,"Davison Igbinosun","CB","BUF","p_1o70qmze"
63,"Jake Slaughter","IOL","LAC","p_tp6f9mug"
64,"Bud Clark","S","SEA","p_j815fg0t"
65,"Carson Beck","QB","ARI","p_wkakbgo2"
66,"Tyler Onyedim","DL","DEN","p_ij7lfwb8"
67,"Keyron Crawford","EDGE","LV","p_fc5g897s"
68,"Markel Bell","OT","PHI","p_86t6hgbv"
69,"Sam Roush","TE","CHI","p_r0zctldw"
70,"Romello Height","EDGE","SF","p_yj483igc"
71,"Antonio Williams","WR","WSH","p_b30gowrx"
72,"Tacario Davis","CB","CIN","p_b5ob6nmn"
73,"Oscar Delp","TE","NO","p_qx4kpi67"
74,"Malachi Fields","WR","NYG","p_auj4s9d8"
75,"Caleb Douglas","WR","MIA","p_50lexbww"
76,"Drew Allar","QB","PIT","p_kvibsj2p"
77,"Chris McClellan","DL","GB","p_tboidikh"
78,"AJ Haulcy","S","IND","p_0xgona7o"
79,"Zachariah Branch","WR","ATL","p_nkho3cjl"
80,"Ja'Kobi Lane","WR","BAL","p_xhg7sjjc"
81,"Albert Regis","DL","JAX","p_kvwnx6ys"
82,"Domonique Orange","DL","MIN","p_9i5nl977"
83,"Chris Brazzell II","WR","CAR","p_m8dqjv6t"
84,"Ted Hurst","WR","TB","p_9z9xwcev"
85,"Daylen Everette","CB","PIT","p_61c1hi53"
86,"Austin Barber","OT","CLE","p_rs812uqp"
87,"Will Kacmarek","TE","MIA","p_bo59b640"
88,"Emmanuel Pregnon","IOL","JAX","p_lexbba21"
89,"Zavion Thomas","WR.S","CHI","p_i0nwzlc0"
90,"Kaelon Black","RB","SF","p_o1vrynl5"
91,"Trey Zuhn III","IOL","LV","p_o5vnm37m"
92,"Jaishawn Barham","EDGE","DAL","p_hj1cm0e9"
93,"Keagen Trost","IOL","LAR","p_vmv2o4sa"
94,"Chris Bell","WR","MIA","p_sl9h8deu"
95,"Eli Raridon","TE","NE","p_yplbqxq9"
96,"Gennings Dunker","IOL","PIT","p_3759bycl"
97,"Caleb Tiernan","OT","MIN","p_ws6ld4zl"
98,"Jakobe Thomas","S","MIN","p_qlxq2kyr"
99,"Julian Neal","CB","SEA","p_flaetq69"
100,"Jalen Huskey","S","JAX","p_zbmzt0rz"
101,"Jermod McCoy","CB","LV","p_28jx3qsc"
102,"Jude Bowry","OT","BUF","p_e4x2gqgm"
103,"Darrell Jackson Jr","DL","NYJ","p_hp1khz4e"
104,"Kaleb Proctor","DL","ARI","p_rjsca735"
105,"Brenen Thompson","WR","LAC","p_yf4gi5dz"
106,"Febechi Nwaiwu","IOL","HOU","p_s2e0obbb"
107,"Gracen Halton","DL","SF","p_1lwptsiq"
108,"Jonah Coleman","RB","DEN","p_5yi1e5lb"
109,"Jadon Canady","CB","KC","p_vnmmhg2y"
110,"Cade Klubnik","QB","NYJ","p_cpmbir7l"
111,"Kage Casey","IOL","DEN","p_ws4fxblq"
112,"Drew Shelton","OT","DAL","p_qotak1uv"
113,"Jalen Farmer","IOL","IND","p_3mlx87n0"
114,"Devin Moore","CB","DAL","p_39wnp1tw"
115,"Elijah Sarratt","WR","BAL","p_aei4u0hg"
116,"Keionte Scott","CB","TB","p_1qt1qiot"
117,"Travis Burke","OT","LAC","p_fk0f98zi"
118,"Jimmy Rolder","LB","DET","p_f4q4fd7a"
119,"Wesley Williams","DL","JAX","p_nhf5e26a"
120,"Dani Dennis-Sutton","EDGE","GB","p_88e97tkr"
121,"Kaden Wetjen","WR.S","PIT","p_mb40glg8"
122,"Mike Washington Jr","RB","LV","p_zy0nivqq"
123,"Wade Woodaz","LB.O","HOU","p_ipe96xyq"
124,"Malik Muhammad","CB","CHI","p_aq84gulo"
125,"Skyler Bell","WR","BUF","p_tjhfgngc"
126,"Kaleb Elarms-Orr","LB","BUF","p_sx27hg52"
127,"Carver Willis","OT","SF","p_w6ee8oro"
128,"Connor Lew","IOL","CIN","p_o60n2qfo"
129,"Will Lee III","CB","CAR","p_l2rdqp7c"
130,"Trey Moore","EDGE","MIA","p_o8d4qzcb"
131,"Genesis Smith","S","LAC","p_bp9mmy74"
132,"Jeremiah Wright","IOL.G","NO","p_ko76ut3j"
133,"Matthew Hibner","TE","BAL","p_u0cwjn8x"
134,"Kendal Daniels","LB.O","ATL","p_y2262fnh"
135,"Bryce Boettcher","LB","IND","p_b53fhbd0"
136,"Bryce Lance","WR","NO","p_m1axqbj2"
137,"LT Overton","DL","DAL","p_t5hob15u"
138,"Kyle Louis","LB","MIA","p_c2dhnyuz"
139,"Ephesians Prysock","CB","SF","p_tqw6hzeo"
140,"Colbie Young","WR","CIN","p_mv2d3h3u"
141,"Kamari Ramsey","S","HOU","p_zeuybhrf"
142,"Fernando Carmona Jr","URA","TEN","p_aoe15vmb"
143,"Reggie Virgil","WR","ARI","p_7tfkpx0t"
144,"Sam Hecht","IOL","CAR","p_i64dk5yg"
145,"Nick Barrett","DL","LAC","p_bj2uwh1p"
