# DraftBoard Session Export
# Exported: 2026-04-25T16:57:00.686Z
# OurPicksLeft: 169,176,210
overall,player,position,team
28,"Caleb Lomu","URA","NE"
31,"Keldric Faulk","URA","TEN"
47,"Germie Bernard","URA","PIT"
50,"D'Angelo Ponds","URA","NYJ"
53,"CJ Allen","URA","IND"
57,"Logan Jones","URA","CHI"
79,"Zachariah Branch","URA","ATL"
89,"Zavion Thomas","URA","CHI"
93,"Keagen Trost","URA","LAR"
101,"Jermod McCoy","CB","LV"
102,"Jude Bowry","OT","BUF"
103,"Darrell Jackson Jr","DL","NYJ"
104,"Kaleb Proctor","DL","ARI"
105,"Brenen Thompson","WR","LAC"
106,"Febechi Nwaiwu","IOL","HOU"
107,"Gracen Halton","DL","SF"
108,"Jonah Coleman","RB","DEN"
109,"Jadon Canady","CB","KC"
110,"Cade Klubnik","QB","NYJ"
111,"Kage Casey","OT","DEN"
1,"Fernando Mendoza","QB","LV"
2,"David Bailey","EDGE","NYJ"
3,"Jeremiyah Love","RB","ARI"
4,"Carnell Tate","WR","TEN"
5,"Arvell Reese","EDGE","NYG"
6,"Mansoor Delane","CB","KC"
7,"Sonny Styles","LB","WSH"
8,"Jordyn Tyson","WR","NO"
9,"Spencer Fano","OT","CLE"
10,"Francis Mauigoa","IOL","NYG"
11,"Caleb Downs","S","DAL"
12,"Kadyn Proctor","OT","MIA"
13,"Ty Simpson","QB","LAR"
14,"Olaivavega Ioane","IOL","BAL"
15,"Rueben Bain Jr","EDGE","TB"
16,"Kenyon Sadiq","TE","NYJ"
17,"Blake Miller","OT","DET"
18,"Caleb Banks","DL","MIN"
19,"Monroe Freeling","OT","CAR"
20,"Makai Lemon","WR","PHI"
21,"Max Iheanachor","OT","PIT"
22,"Akheem Mesidor","EDGE","LAC"
23,"Malachi Lawrence","EDGE","DAL"
24,"Kevin Concepcion","WR","CLE"
25,"Dillon Thieneman","S","CHI"
26,"Keylan Rutledge","IOL","HOU"
27,"Chris Johnson","CB","MIA"
29,"Peter Woods","DL","KC"
30,"Omar Cooper Jr","WR","NYJ"
32,"Jadarian Price","RB","SEA"
33,"De'Zhaun Stribling","WR","SF"
34,"Chase Bisontis","IOL","ARI"
35,"TJ Parker","EDGE","BUF"
36,"Kayden McDonald","DL","HOU"
37,"Colton Hood","CB","NYG"
38,"Treydan Stukes","CB","LV"
39,"Denzel Boston","WR","CLE"
40,"R Mason Thomas","EDGE","KC"
41,"Cashius Howell","EDGE","CIN"
42,"Christen Miller","DL","NO"
43,"Jacob Rodriguez","LB","MIA"
44,"Derrick Moore","EDGE","DET"
45,"Zion Young","EDGE","BAL"
46,"Josiah Trotter","LB","TB"
48,"Avieon Terrell","CB","ATL"
49,"Lee Hunter","DL","CAR"
51,"Jake Golday","LB","MIN"
52,"Brandon Cisse","CB","GB"
54,"Eli Stowers","TE","PHI"
55,"Gabe Jacas","EDGE","NE"
56,"Nate Boerkircher","TE","JAX"
58,"Emmanuel McNeil-Warren","S","CLE"
59,"Marlin Klein","TE","HOU"
60,"Anthony Hill Jr","LB","TEN"
61,"Max Klare","TE","LAR"
62,"Davison Igbinosun","CB","BUF"
63,"Jake Slaughter","IOL","LAC"
64,"Bud Clark","S","SEA"
65,"Carson Beck","QB","ARI"
66,"Tyler Onyedim","DL","DEN"
67,"Keyron Crawford","EDGE","LV"
68,"Markel Bell","OT","PHI"
69,"Sam Roush","TE","CHI"
70,"Romello Height","EDGE","SF"
71,"Antonio Williams","WR","WSH"
72,"Tacario Davis","CB","CIN"
73,"Oscar Delp","TE","NO"
74,"Malachi Fields","WR","NYG"
75,"Caleb Douglas","WR","MIA"
76,"Drew Allar","QB","PIT"
77,"Chris McClellan","DL","GB"
78,"AJ Haulcy","S","IND"
80,"Ja'Kobi Lane","WR","BAL"
81,"Albert Regis","DL","JAX"
82,"Domonique Orange","DL","MIN"
83,"Chris Brazzell II","WR","CAR"
84,"Ted Hurst","WR","TB"
85,"Daylen Everette","CB","PIT"
86,"Austin Barber","OT","CLE"
87,"Will Kacmarek","TE","MIA"
88,"Emmanuel Pregnon","IOL","JAX"
90,"Kaelon Black","RB","SF"
91,"Trey Zuhn III","IOL","LV"
92,"Jaishawn Barham","EDGE","DAL"
94,"Chris Bell","WR","MIA"
95,"Eli Raridon","TE","NE"
96,"Gennings Dunker","IOL","PIT"
97,"Caleb Tiernan","OT","MIN"
98,"Jakobe Thomas","S","MIN"
99,"Julian Neal","CB","SEA"
100,"Jalen Huskey","S","JAX"
112,"Drew Shelton","OT","DAL"
113,"Jalen Farmer","IOL","IND"
114,"Devin Moore","CB","DAL"
115,"Elijah Sarratt","WR","BAL"
116,"Keionte Scott","CB","TB"
