group,name,position
1.1,Arvell Reese,EDGE
1.2,Jeremiyah Love,RB
1.2,David Bailey,EDGE
1.2,Caleb Downs,S
1.2,Sonny Styles,LB
1.2,Mansoor Delane,CB
1.3,Spencer Fano,OT
1.4,Jordyn Tyson,WR
1.4,Rueben Bain Jr,EDGE
1.5,Fernando Mendoza,QB
1.5,Kenyon Sadiq,TE
1.5,Olaivavega Ioane,IOL
1.5,Dillon Thieneman,S
1.6,Carnell Tate,WR
1.6,TJ Parker,EDGE
1.6,Kayden McDonald,DL
1.6,Monroe Freeling,OT
1.7,Makai Lemon,WR
2.1,Garrett Nussmeier,QB
2.1,Jadarian Price,RB
2.1,Denzel Boston,WR
2.1,Francis Mauigoa,IOL
2.1,Peter Woods,DL
2.1,Malachi Lawrence,EDGE
2.1,Jermod McCoy,CB
2.1,Emmanuel McNeil-Warren,S
2.2,Ty Simpson,QB
2.2,Kevin Concepcion,WR
2.2,Caleb Lomu,OT
2.2,Emmanuel Pregnon,IOL
2.2,Christen Miller,DL
2.2,Akheem Mesidor,EDGE
2.2,Anthony Hill Jr,LB
2.2,Treydan Stukes,CB
2.3,Omar Cooper Jr,WR
2.3,Max Iheanachor,OT
2.3,Keylan Rutledge,IOL
2.3,Lee Hunter,DL
2.3,Zion Young,EDGE
2.3,Chris Johnson,CB
2.3,Jalon Kilgore,S
2.4,Germie Bernard,WR
2.4,Chase Bisontis,IOL
2.4,Caleb Banks,DL
2.4,Romello Height,EDGE
2.4,Jacob Rodriguez,LB
2.4,D'Angelo Ponds,CB
2.5,Chris Bell,WR
2.5,Eli Stowers,TE
2.5,Avieon Terrell,CB
3.1,Carson Beck,QB
3.1,Antonio Williams,WR
3.1,Max Klare,TE
3.1,Kadyn Proctor,OT
3.1,Gennings Dunker,IOL
3.1,Gracen Halton,DL
3.1,Gabe Jacas,EDGE
3.1,CJ Allen,LB
3.1,Colton Hood,CB
3.1,Bud Clark,S
3.2,Mike Washington Jr,RB
3.2,Zachariah Branch,WR
3.2,Oscar Delp,TE
3.2,Caleb Tiernan,OT
3.2,Jake Slaughter,IOL
3.2,Domonique Orange,DL
3.2,Derrick Moore,EDGE
3.2,Kyle Louis,LB
3.2,Brandon Cisse,CB
3.2,Keionte Scott,CB
3.3,Jonah Coleman,RB
3.3,De'Zhaun Stribling,WR
3.3,Sam Roush,TE
3.3,Jude Bowry,OT
3.3,Logan Jones,IOL
3.3,Zane Durant,DL
3.3,Keldric Faulk,DL
3.3,Jake Golday,LB
3.3,Chandler Rivers,CB
3.3,AJ Haulcy,S
3.4,Bryce Lance,WR
3.4,Justin Joly,TE
3.4,Billy Schrauth,IOL
3.4,Rayshaun Benny,DL
3.4,Cashius Howell,EDGE
3.4,Josiah Trotter,LB
3.4,Davison Igbinosun,CB
3.5,Chris Brazzell II,WR
3.5,Sam Hecht,IOL
3.5,Chris McClellan,DL
3.5,Julian Neal,CB
3.6,Elijah Sarratt,WR
3.6,Daylen Everette,CB
3.7,Malachi Fields,WR
4.1,Cade Klubnik,QB
4.1,Seth McGowan,RB
4.1,Ted Hurst,WR
4.1,Eli Raridon,TE
4.1,Isaiah World,OT
4.1,Jalen Farmer,IOL
4.1,R Mason Thomas,EDGE
4.1,Jack Kelly,LB
4.1,Kamari Ramsey,S
4.2,Taylen Green,QB
4.2,Nick Singleton,RB
4.2,Jack Endries,TE
4.2,Austin Barber,OT
4.2,Brian Parker II,IOL
4.2,Domani Jackson,CB
4.2,Dani Dennis-Sutton,EDGE
4.2,Ephesians Prysock,CB
4.2,Genesis Smith,S
4.3,Michael Trigg,TE
4.3,Diego Pounds,OT
4.3,Parker Brailsford,IOL
4.3,Jaishawn Barham,EDGE
4.3,Charles Demmings,CB
4.3,VJ Payne,S
4.4,Brenen Thompson,WR
4.4,Connor Lew,IOL
4.4,DeMonte Capehart,DL
4.4,Mikail Kamara,EDGE
4.5,Jeff Caldwell,WR
4.5,Jadon Canady,CB
4.6,Reggie Virgil,WR
5.1,Cole Payton,QB
