group,name,position
3,Taurean York,LB
1.4,Peter Woods,DL
7,Haynes King,QB
2.2,Malik Muhammad,CB
3,Bud Clark,S
4,CJ Daniels,WR
4,Devon Marshall,CB
2.2,Gabe Jacas,EDGE
4,Zane Durant,DL
3,Max Iheanachor,OT
1.3,Rueben Bain Jr.,EDGE
5,Kaden Wetjen,WR
4,Joe Royer,TE
3,Dani Dennis-Sutton,EDGE
7,Logan Fano,EDGE
3,Joshua Josephs,EDGE
3,Kamari Ramsey,S
5,Keyshaun Elliott,LB
4,Xavier Nwankpa,S
5,Kevin Coleman Jr.,WR
5,Eli Heidenreich,RB
5,Tyren Montgomery,WR
1.4,Jermod McCoy,CB
3,Justin Joly,TE
3,Cyrus Allen,WR
7,Jack Kelly,LB
5,Eric McAlister,WR
1.3,Arvell Reese,LB
4,Lander Barton,LB
3,Eli Stowers,TE
7,Evan Beerntsen,IOL
4,Jonah Coleman,RB
4,Tyreak Sapp,EDGE
2.2,D'Angelo Ponds,CB
3,Daylen Everette,CB
5,Nolan Rucci,OT
4,Caleb Douglas,WR
7,Jager Burton,IOL
4,Kage Casey,OT
5,Michael Taaffe,S
5,Isaiah World,OT
7,J'Mari Taylor,RB
2.2,Zion Young,EDGE
5,Nick Barrett,DL
5,Vincent Anthony Jr.,EDGE
3,Jakobe Thomas,S
5,Kendrick Law,WR
4,Diego Pounds,OT
2.2,Chase Bisontis,IOL
5,Drew Shelton,OT
1.4,David Bailey,EDGE
5,Aamil Wagner,OT
2.2,Akheem Mesidor,EDGE
2.2,Ty Simpson,QB
7,Bishop Fitzgerald,S
5,Jalen Huskey,S
3,Caleb Tiernan,OT
4,Will Lee III,CB
1.4,Olaivavega Ioane,IOL
3,Sam Hecht,IOL
1.4,Kenyon Sadiq,TE
4,Harold Perkins Jr.,LB
7,Jordan Van Den Berg,DL
4,Trey Zuhn III,IOL
1.4,Sonny Styles,LB
2.2,Denzel Boston,WR
7,Caullin Lacy,WR
5,Jeff Caldwell,WR
7,Noah Whittington,RB
2.2,Kadyn Proctor,OT
4,Emmett Johnson,RB
7,Keagen Trost,IOL
5,Anthony Lucas,EDGE
5,Aiden Fisher,LB
4,Robert Spears-Jennings,S
5,Jeremiah Wright,IOL
4,Jaishawn Barham,EDGE
2.2,Skyler Bell,WR
2.2,Omar Cooper Jr.,WR
5,Nadame Tucker,EDGE
1.4,Francis Mauigoa,IOL
3,Michael Trigg,TE
5,Kaleb Proctor,DL
