group,name,position
1.1,Jeremiyah Love,RB
1.1,Arvell Reese,EDGE
1.1,David Bailey,EDGE
1.2,Caleb Downs,S
1.2,Sonny Styles,LB
1.2,Mansoor Delane,CB
1.3,Fernando Mendoza,QB
1.3,Jordyn Tyson,WR
1.4,Spencer Fano,OT
1.4,Kenyon Sadiq,TE
1.5,Rueben Bain Jr,EDGE
1.5,Olaivavega Ioane,IOL
1.6,Carnell Tate,WR
1.6,Makai Lemon,WR
1.6,Dillon Thieneman,S
1.7,TJ Parker,EDGE
1.7,Kayden McDonald,DL
1.7,Monroe Freeling,OT
2.1,Jermod McCoy,CB
2.1,Francis Mauigoa,IOL
2.1,Emmanuel McNeil-Warren,S
2.1,Peter Woods,DL
2.1,Denzel Boston,WR
2.1,Malachi Lawrence,EDGE
2.1,Caleb Lomu,OT
2.1,Garrett Nussmeier,QB
2.2,Akheem Mesidor,EDGE
2.2,Ty Simpson,QB
2.2,Christen Miller,DL
2.2,Emmanuel Pregnon,IOL
2.2,Kevin Concepcion,WR
2.3,Chris Johnson,CB
2.3,Anthony Hill Jr,LB
2.3,Treydan Stukes,CB
2.4,Omar Cooper Jr,WR
2.4,Jadarian Price,RB
2.4,Lee Hunter,DL
2.4,Chase Bisontis,IOL
2.4,Max Iheanachor,OT
2.5,Zion Young,EDGE
2.5,Jalon Kilgore,S
2.5,Jacob Rodriguez,LB
2.5,D'angelo Ponds,CB
2.6,Avieon Terrell,CB
2.6,Blake Miller,OT
2.6,Keylan Rutledge,IOL
2.6,Caleb Banks,DL
2.6,Romello Height,EDGE
2.6,Germie Bernard,WR
2.7,CJ Allen,LB
2.7,Chris Bell,WR
2.7,Kadyn Proctor,OT
2.7,Gabe Jacas,EDGE
2.7,Colton Hood,CB
2.7,Eli Stowers,TE
2.7,Gennings Dunker,IOL
2.7,Kyle Louis,LB
3.1,Jake Golday,LB
3.1,Max Klare,TE
3.1,Zachariah Branch,WR
3.1,Brandon Cisse,CB
3.1,Derrick Moore,EDGE
3.1,Bud Clark,S
3.1,Antonio Williams,WR
3.1,Caleb Tiernan,OT
3.1,Jake Slaughter,IOL
3.1,Emmett Johnson,RB
3.1,Gracen Halton,DL
3.2,Keldric Faulk,DL
3.2,Chandler Rivers,CB
3.2,Josiah Trotter,LB
3.2,De'Zhaun Stribling,WR
3.2,Domonique Orange,DL
3.2,Oscar Delp,TE
3.2,Jude Bowry,OT
3.2,Carson Beck,QB
3.2,Keionte Scott,CB
3.2,Logan Jones,IOL
3.2,Mike Washington Jr,RB
3.3,Cashius Howell,EDGE
3.3,AJ Haulcy,S
3.3,Davison Igbinosun,CB
3.3,Sam Roush,TE
3.3,Billy Schrauth,IOL
3.3,Zane Durant,DL
3.3,Bryce Lance,WR
3.3,Jonah Coleman,RB
3.4,Chris Brazzell II,WR
3.4,Julian Neal,CB
3.4,Sam Hecht,IOL
3.4,Justin Joly,TE
3.4,Rayshaun Benny,DL
3.5,Malachi Fields,WR
3.5,Elijah Sarratt,WR
3.5,Daylen Everette,CB
3.5,Chris McClellan,DL
4.1,R Mason Thomas,EDGE
4.1,Ted Hurst,WR
4.1,Kamari Ramsey,S
4.1,Eli Raridon,TE
4.1,Devin Moore,CB
4.1,Jalen Farmer,IOL
4.1,Isaiah World,OT
4.1,Jack Kelly,LB
4.2,Skyler Bell,WR
4.2,Dani Dennis-Sutton,EDGE
4.2,Genesis Smith,S
4.2,Ephesians Prysock,CB
4.2,Austin Barber,OT
4.2,Brian Parker II,IOL
4.2,Jack Endries,TE
4.2,Cade Klubnik,QB
4.2,Seth McGowan,RB
4.2,Trey Moore,EDGE
4.3,Michael Trigg,TE
4.3,Ja'Kobi Lane,WR
4.3,Taylen Green,QB
4.3,Diego Pounds,OT
4.3,Jaishawn Barham,EDGE
4.3,VJ Payne,S
4.3,Parker Brailsford,IOL
4.3,Nicholas Singleton,RB
4.3,Keyshaun Elliott,LB
4.3,Charles Demmings,CB
4.4,Markel Bell,OT
4.4,Connor Lew,IOL
4.4,Brenen Thompson,WR
4.4,Kaytron Allen,RB
4.4,Tacario Davis,CB
4.4,Harold Perkins Jr,LB
4.4,Mikail Kamara,EDGE
5.1,Jakobe Thomas,S
5.1,Jadon Canady,CB
5.1,Keyron Crawford,EDGE
5.1,DeMonte Capehart,DL
5.1,Justin Jefferson,LB
5.1,Riley Nowakowski,TE
5.1,Jeff Caldwell,WR
5.1,Eli Heidenreich,RB
5.1,Micah Morris,IOL
5.1,Enrique Cruz Jr,OT
5.2,Keith Abney II,CB
5.2,Deontae Lawson,LB
5.2,Louis Moore,S
5.2,Joshua Josephs,EDGE
5.2,Reggie Virgil,WR
5.2,Demond Claiborne,RB
5.2,Drew Shelton,OT
5.2,Jager Burton,IOL
5.2,Tyler Onyedim,DL
5.3,Logan Taylor,IOL
5.3,Will Lee III,CB
5.3,Cole Payton,QB
5.3,Dontay Corleone,DL
5.3,CJ Daniels,WR
5.3,Michael Taaffe,S
5.3,Keagen Trost,IOL
5.3,Red Murdock,LB
5.3,Mason Reiger,EDGE
5.4,Hezekiah Masses,CB
5.4,Nadame Tucker,EDGE
5.4,Kaleb Elarms-Orr,LB
5.4,JMichael Sturdivant,WR
5.4,Toriano Pride Jr,CB
5.5,Karson Sharar,LB
6.1,Josh Cameron,WR
6.1,Domani Jackson,CB
6.1,Trey Zuhn III,IOL
6.1,Tanner Koziol,TE
6.1,Bryce Boettcher,LB
6.1,Kaelon Black,RB
6.1,Zxavian Harris,DL
6.1,Logan Fano,EDGE
6.1,DeShon Singleton,S
6.1,Fa'alili Fa'amoe,OT
6.2,Drew Allar,QB
6.2,Travis Burke,OT
6.2,Marlin Klein,TE
6.2,Adam Randall,RB
6.2,Andre Fuller,CB
6.2,Kevin Coleman Jr,WR
6.2,Pat Coogan,IOL
6.2,George Gumbs Jr,EDGE
6.2,Jimmy Rolder,LB
6.2,Lorenzo Styles Jr,S
6.3,Aiden Fisher,LB
6.3,Avery Smith,CB
6.3,Dalton Johnson,S
6.3,Kage Casey,IOL
6.3,David Gusta,DL
6.4,Albert Regis,DL
7.1,Zakee Wheatley,S
7.1,Lander Barton,LB
7.1,Febechi Nwaiwu,IOL
7.1,Tim Keenan III,DL
7.1,Dametrious Crownover,OT
7.1,Max Llewellyn,DL
7.1,John Michael Gyllenborg,TE
7.1,Diego Pavia,QB
7.1,Latrell McCutchin Sr,CB
7.1,Noah Whittington,RB
7.1,Malik Benson,WR
7.2,LT Overton,DL
7.2,Beau Stephens,IOL
7.2,Luke Altmyer,QB
7.2,Ahmari Harvey,CB
7.3,Haynes King,QB
7.3,Uar Bernard,DL
7.3,TJ Hall,CB
