group,name,position,favourite
1,Fernando Mendoza,QB
,Arvell Reese,EDGE
,Jeremiyah Love,RB
,Caleb Downs,S
,Sonny Styles,LB.O
,David Bailey,EDGE
,Rueben Bain Jr,DL.3T,*
,Mansoor Delane,CB
,Carnell Tate,WR
,Francis Mauigoa,OT
,Spencer Fano,OT
,Makai Lemon,WR
,Olaivavega Ioane,IOL.G
,Jermod McCoy,CB
,Jordyn Tyson,WR,*
,Kenyon Sadiq,TE,*
,Keldric Faulk,EDGE
,Kevin Concepcion,WR,*
,Dillon Thieneman,S,*
,Omar Cooper Jr,WR
,Kadyn Proctor,OT
,Akheem Mesidor,EDGE
,Avieon Terrell,CB.N
,Monroe Freeling,OT
,Emmanuel McNeil-Warren,S
,Peter Woods,DL.3T
,TJ Parker,EDGE,*
,Denzel Boston,WR
,Ty Simpson,QB
,Kayden McDonald,DL.1T
,Cashius Howell,EDGE
,Blake Miller,OT
2,Caleb Lomu,OT
,Chris Johnson,CB
,CJ Allen,LB.O
,Colton Hood,CB
,Zion Young,EDGE
,D'angelo Ponds,CB.N,*
,Malachi Lawrence,EDGE,*
,Lee Hunter,DL.1T
,Max Iheanachor,OT
,R Mason Thomas,EDGE
,Christen Miller,DL.1T
,Chris Bell,WR
,Caleb Banks,DL.1T
,Gabe Jacas,EDGE
,Chase Bisontis,IOL.G
,Brandon Cisse,CB
,Jake Golday,LB.O
,Jadarian Price,RB
,Chris Brazzell II,WR
,Anthony Hill Jr,LB.I
,Emmanuel Pregnon,IOL.G
,Zachariah Branch,WR
,Jacob Rodriguez,LB.I
,Keylan Rutledge,IOL.G
,Malachi Fields,WR
,Derrick Moore,EDGE
,AJ Haulcy,S
,Germie Bernard,WR
,Max Klare,TE
,Josiah Trotter,LB.I
,Antonio Williams,WR
,Davison Igbinosun,CB
3,Garrett Nussmeier,QB
,Malik Muhammad,CB,*
,Treydan Stukes,S
,Keith Abney II,CB.N
,Dani Dennis-Sutton,EDGE
,Elijah Sarratt,WR
,Caleb Tiernan,OT
,Ted Hurst,WR,*
,Domonique Orange,DL.1T,*
,Romello Height,EDGE
,Mike Washington Jr,RB
,Gennings Dunker,IOL.G
,Zakee Wheatley,S
,Eli Stowers,TE
,Chandler Rivers,CB.N
,Keionte Scott,CB
,Kamari Ramsey,S
,Joshua Josephs,EDGE
,Julian Neal,CB
,Skyler Bell,WR
,Deion Burks,WR.S
,Bud Clark,S,*
,Connor Lew,IOL.C
,Genesis Smith,S
,Darrell Jackson Jr,DL.3T
,Jalon Kilgore,S,*
,Jaishawn Barham,EDGE
,Keyron Crawford,EDGE
,De'Zhaun Stribling,WR
,Markel Bell,OT
,Sam Hecht,IOL.C
,Daylen Everette,CB
4,LT Overton,DL.5T
,Devin Moore,CB
,Oscar Delp,TE
,Jake Slaughter,IOL.C
,Austin Barber,OT
,Michael Trigg,TE
,Drew Allar,QB
,Gracen Halton,DL.3T
,Deontae Lawson,LB.I
,Cole Payton,QB
,Brenen Thompson,WR.S
,Bryce Lance,WR
,Ja'Kobi Lane,WR
,Will Lee III,CB
,Kyle Louis,LB.O
,Jalen Farmer,IOL.G
,Brian Parker II,IOL.C
,Sam Roush,TE,*
,Billy Schrauth,IOL.G
,Justin Joly,TE
,Jude Bowry,OT
,Carson Beck,QB
,Logan Jones,IOL.C
,Josh Cameron,WR
,Eli Raridon,TE
,Travis Burke,OT
,Chris McClellan,DL.3T
,Anthony Lucas,EDGE
,Jonah Coleman,RB
,Emmett Johnson,RB
,Trey Zuhn III,IOL.C
,Kage Casey,IOL.G
5,Rayshaun Benny,DL.3T
,Dametrious Crownover,OT
,Parker Brailsford,IOL.C
,Tacario Davis,CB
,Taylen Green,QB
,Zane Durant,DL.3T,*
,Dontay Corleone,DL.1T
,Cade Klubnik,QB
,Taurean York,LB.I
,Reggie Virgil,WR
,VJ Payne,S
,Jack Endries,TE
,DeMonte Capehart,DL.3T
,Hezekiah Masses,CB
,Isaiah World,OT,*
,Drew Shelton,OT
,Keyshaun Elliott,LB.I
,Tim Keenan III,DL.1T
,Harold Perkins Jr,LB.O
,Ephesians Prysock,CB,*
,Diego Pounds,OT
,Devon Marshall,CB
,Tyreak Sapp,EDGE
,Kaytron Allen,RB
,Nate Boerkircher,TE
,Jadon Canady,CB.N
,Kaleb Proctor,DL.5T
,Max Llewellyn,EDGE
,Nadame Tucker,EDGE
,TJ Hall,CB
,Zxavian Harris,DL.1T
,Marlin Klein,TE
6,Beau Stephens,IOL.G
,JC Davis,OT
,Demond Claiborne,RB
,Nick Barrett,DL.3T
,Bryce Boettcher,LB.I
,Caden Curry,EDGE
,Cyrus Allen,WR
,Joe Royer,TE
,Jeff Caldwell,WR
