group,name,position
1.1,Caleb Downs,S
1.2,Rueben Bain Jr.,EDGE
1.2,Sonny Styles,LB
1.2,Mansoor Delane,CB
1.3,Jeremiyah Love,RB
1.3,Jordyn Tyson,WR
1.3,Jermod McCoy,CB
1.4,David Bailey,EDGE
1.4,KC Concepcion,WR
1.5,Fernando Mendoza,QB
1.5,Spencer Fano,OT
1.5,Olaivavega Ioane,IOL
1.6,Carnell Tate,WR
1.6,Kenyon Sadiq,TE
1.6,T.J. Parker,EDGE
1.7,Makai Lemon,WR
1.7,Francis Mauigoa,IOL
1.7,Emmanuel McNeil-Warren,S
1.7,Dillon Thieneman,S
1.7,Peter Woods,DL
2.1,Avieon Terrell,CB
2.1,Ty Simpson,QB
2.1,Kadyn Proctor,OT
2.1,Malachi Lawrence,EDGE
2.1,Christen Miller,DL
2.2,Chris Bell,WR
2.2,Jadarian Price,RB
2.2,Keylan Rutledge,IOL
2.3,Kayden McDonald,DL
2.3,Akheem Mesidor,EDGE
2.3,Chris Johnson,CB
2.3,Anthony Hill Jr.,LB
2.4,Omar Cooper Jr.,WR
2.4,Chandler Rivers,CB
2.4,Zion Young,EDGE
2.4,Jake Golday,LB
2.4,Lee Hunter,DL
2.4,Max Klare,TE
2.4,Zakee Wheatley,S
2.5,Denzel Boston,WR
2.5,Garrett Nussmeier,QB
2.5,Max Iheanachor,OT
2.6,Malik Muhammad,CB
2.6,Gabe Jacas,EDGE
2.6,A.J. Haulcy,S
2.6,Josiah Trotter,LB
2.6,Domonique Orange,DL
2.7,Chris Brazzell II,WR
2.7,Cashius Howell,EDGE
2.7,Blake Miller,OT
2.7,Monroe Freeling,OT
2.7,Colton Hood,CB
2.7,Jalon Kilgore,S
2.7,Chase Bisontis,IOL
2.7,Davison Igbinosun,CB
2.7,Derrick Moore,EDGE
2.7,Josh Cameron,WR
2.7,Gennings Dunker,IOL
3.1,Mike Washington Jr.,RB
3.1,Caleb Banks,DL
3.1,Brandon Cisse,CB
3.1,Bud Clark,S
3.1,Michael Trigg,TE
3.1,Jacob Rodriguez,LB
3.1,Markel Bell,OT
3.1,Romello Height,EDGE
3.1,Sam Hecht,IOL
3.1,Drew Allar,QB
3.2,Ted Hurst,WR
3.2,Treydan Stukes,CB
3.2,Kamari Ramsey,S
3.2,Dani Dennis-Sutton,EDGE
3.2,Eli Raridon,TE
3.2,Darrell Jackson Jr.,DL
3.2,Deontae Lawson,LB
3.2,Billy Schrauth,IOL
3.2,Jude Bowry,OT
3.2,Cole Payton,QB
3.3,R Mason Thomas,EDGE
3.3,Genesis Smith,S
3.3,Daylen Everette,CB
3.3,Antonio Williams,WR
3.3,Sam Roush,TE
3.3,Caleb Tiernan,OT
3.3,Taurean York,LB
3.3,Jake Slaughter,IOL
3.3,Gracen Halton,DL
3.4,Malachi Fields,WR
3.4,Jakobe Thomas,S
3.4,Julian Neal,CB
3.4,Eli Stowers,TE
3.4,Travis Burke,OT
3.4,Joshua Josephs,EDGE
3.4,Connor Lew,IOL
3.5,Skyler Bell,WR
3.5,Keith Abney II,CB
3.5,Oscar Delp,TE
3.5,Louis Moore,S
3.5,Jaishawn Barham,EDGE
3.6,Deion Burks,WR
3.6,Emmanuel Pregnon,IOL
3.6,Justin Joly,TE
3.6,Ephesians Prysock,CB
3.7,Cyrus Allen,WR
3.7,Jadon Canady,CB
4.1,Elijah Sarratt,WR
4.1,Austin Barber,OT
4.1,Devin Moore,CB
4.1,Jack Endries,TE
4.1,Zane Durant,DL
4.1,Cade Klubnik,QB
4.1,Kaytron Allen,RB
4.1,Trey Zuhn III,IOL
4.1,Keyron Crawford,EDGE
4.1,Justin Jefferson,LB
4.1,Jalen Huskey,S
4.2,De'Zhaun Stribling,WR
4.2,LT Overton,DL
4.2,Dallen Bentley,TE
4.2,Diego Pounds,OT
4.2,Carson Beck,QB
4.2,Beau Stephens,IOL
4.2,Keionte Scott,CB
4.2,Xavier Nwankpa,S
4.2,Lander Barton,LB
4.2,Le'Veon Moss,RB
4.2,Anthony Lucas,EDGE
4.3,Brian Parker II,IOL
4.3,Taylen Green,QB
4.3,Emmett Johnson,RB
4.3,Will Lee III,CB
4.3,Marlin Klein,TE
4.3,Jalen Farmer,IOL
4.3,VJ Payne,S
4.3,Bryce Lance,WR
4.3,Harold Perkins Jr.,LB
4.3,Rayshaun Benny,DL
4.3,Nadame Tucker,EDGE
4.4,Reggie Virgil,WR
4.4,Logan Taylor,IOL
4.4,Dae'Quan Wright,TE
4.4,Kage Casey,OT
4.4,Domani Jackson,CB
4.4,Tim Keenan III,DL
4.4,Jonah Coleman,RB
4.4,Tyreak Sapp,EDGE
4.4,Robert Spears-Jennings,S
4.4,Red Murdock,LB
4.5,Ja'Kobi Lane,WR
4.5,Josh Cuevas,TE
4.5,Febechi Nwaiwu,IOL
4.5,Tacario Davis,CB
4.5,Adam Randall,RB
4.5,Bryce Boettcher,LB
4.5,Max Llewellyn,DL
4.5,Kaleb Proctor,DL
4.5,Demetrious Crownover,UNK
4.6,Brenen Thompson,WR
4.6,Parker Brailsford,IOL
4.6,Hezekiah Masses,CB
4.6,Will Kacmarek,TE
4.6,Dontay Corleone,DL
4.6,Demond Claiborne,RB
4.6,Aamil Wagner,OT
4.7,Devon Marshall,CB
4.7,Joe Royer,TE
4.7,Jeff Caldwell,WR
5.1,Tanner Koziol,TE
5.1,Michael Taaffe,S
5.1,Chris McClellan,DL
5.1,Caden Curry,EDGE
5.1,Nicholas Singleton,RB
5.1,Aiden Fisher,LB
5.1,Drew Shelton,OT
5.1,Kevin Coleman Jr.,WR
5.1,DJ Campbell,IOL
5.1,Sawyer Robertson,QB
5.1,TJ Hall,UNK
5.2,Lewis Bond,WR
5.2,DeMonte Capehart,DL
5.2,Thaddeus Dixon,CB
5.2,Jalen Stroman,S
5.2,Nate Boerkircher,TE
5.2,Roman Hemby,RB
5.2,Isaiah World,OT
5.2,Vincent Anthony Jr.,EDGE
5.2,Luke Altmyer,QB
5.3,Albert Regis,DL
5.3,Jacob Thomas,S
5.3,Andre Fuller,CB
5.3,Eric McAlister,WR
5.3,Riley Nowakowski,TE
5.3,Kaelon Black,RB
5.3,Nolan Rucci,OT
5.3,Kaleb Elarms-Orr,LB
5.3,Mikail Kamara,EDGE
5.4,CJ Daniels,WR
5.4,Nick Barrett,DL
5.4,Toriano Pride,CB
5.4,J.C. Davis,OT
5.4,J'Mari Taylor,RB
5.4,Dalton Johnson,S
5.4,Logan Fano,EDGE
5.4,Scooby Williams,UNK
5.5,Caleb Douglas,WR
5.5,Cole Wisniewski,S
5.5,Charles Demmings,CB
5.5,Noah Whittington,RB
5.5,Jack Kelly,LB
5.5,Tyler Onyedim,UNK
5.6,Skyler Gill-Howard,DL
5.6,Jaydn Ott,RB
6.1,Lorenzo Styles,S
6.1,Eli Heidenreich,RB
6.1,Tyren Montgomery,WR
6.1,Avery Smith,CB
6.1,Diego Pavia,QB
6.1,Landon Robinson,DL
6.1,Michael Gyllenborg,UNK
6.2,Eric Rivers,WR
6.2,Zxavian Harris,DL
6.2,Dan Villari,TE
6.2,Bishop Fitzgerald,S
6.2,Haynes King,QB
6.2,CJ Donaldson,RB
6.2,Collin Wright,UNK
6.3,Dillon Bell,WR
6.3,Latrell McCutchin Sr.,CB
6.3,Jam Miller,UNK
6.3,Matthew Hibner,UNK
6.3,Isaiah Nwokobia,UNK
6.4,Barion Brown,WR
6.4,Jamal Haynes,UNK
6.4,Marcus Allen,UNK
6.5,Kendrick Law,WR
7.1,Khalil Dinkins,TE
7.1,Aaron Anderson,WR
7.1,Joey Aguilar,QB
7.1,DeShon Singleton,S
7.1,Rahsul Faison,UNK
7.2,Caullin Lacy,WR
7.2,Jaren Kanak,TE
7.2,Seth McGowan,UNK
7.3,Harrison Wallace III,WR
7.4,Chase Roberts,WR
