group,name,position
7,Noah Whittington,RB
4,Tim Keenan III,DL
4,Jalen Farmer,IOL
4,Gracen Halton,DL
3,Michael Trigg,TE
3,Dani Dennis-Sutton,EDGE
3,Billy Schrauth,IOL
4,Cade Klubnik,QB
3,Genesis Smith,S
4,Xavier Nwankpa,S
5,Kyle Louis,LB
7,Jack Pyburn,EDGE
3,Germie Bernard,WR
7,Ar'maj Reed-Adams,IOL
4,Thaddeus Dixon,CB
7,Cole Wisniewski,S
5,Sawyer Robertson,QB
2.2,Zachariah Branch,WR
2.2,Malik Muhammad,CB
5,Mikail Kamara,EDGE
2.2,Chandler Rivers,CB
7,Avery Smith,CB
3,Keith Abney II,CB
3,Jake Slaughter,IOL
4,Caleb Douglas,WR
4,VJ Payne,S
4,Zane Durant,DL
2.2,Zakee Wheatley,S
7,Josh Gesky,IOL
1.4,Avieon Terrell,CB
2.2,Emmanuel Pregnon,IOL
2.2,Jadarian Price,RB
5,Jalen Huskey,S
3,Eli Raridon,TE
5,Lorenzo Styles,S
5,Andre Fuller,CB
5,Bryce Boettcher,LB
5,Dillon Bell,WR
4,Tacario Davis,CB
7,Haynes King,QB
4,Brenen Thompson,WR
3,Max Iheanachor,OT
7,Harrison Wallace III,WR
7,Charles Demmings,CB
2.2,D'Angelo Ponds,CB
3,Reggie Virgil,WR
5,Owen Heinecke,LB
4,Marlin Klein,TE
7,Jordan Van Den Berg,DL
2.2,Kayden McDonald,DL
5,Aiden Fisher,LB
4,Robert Spears-Jennings,S
5,Pat Coogan,IOL
4,Kage Casey,OT
2.2,T.J. Parker,EDGE
3,Sam Hecht,IOL
3,Domonique Orange,DL
1.4,Kenyon Sadiq,TE
3,Oscar Delp,TE
7,Joey Aguilar,QB
1.3,Rueben Bain Jr.,EDGE
3,Deontae Lawson,LB
5,Aamil Wagner,OT
7,Quintayvious Hutchins,EDGE
4,Le'Veon Moss,RB
4,Hezekiah Masses,CB
4,Jonah Coleman,RB
3,Jacob Rodriguez,LB
1.4,Spencer Fano,OT
5,Vincent Anthony Jr.,EDGE
5,Chris McClellan,DL
7,J'Mari Taylor,RB
3,Austin Barber,OT
5,Eric Rivers,WR
3,Jude Bowry,OT
5,Keyshaun Elliott,LB
7,Keagen Trost,IOL
4,Garrett DiGiorgio,IOL
5,Zxavian Harris,DL
3,Jakobe Thomas,S
4,Jaishawn Barham,EDGE
3,Josh Cameron,WR
4,Keyron Crawford,EDGE
2.2,Chase Bisontis,IOL
2.2,Kadyn Proctor,OT
7,DeShon Singleton,S5,Max Llewellyn,DL
4,Dontay Corleone,DL
5,Dan Villari,TE
2.2,Chris Bell,WR
7,Skyler Gill-Howard,DL
7,Deven Eastern,DL
4,Parker Brailsford,IOL
3,Gennings Dunker,IOL
4,Logan Jones,IOL
5,Drew Shelton,OT
2.2,Josiah Trotter,LB
5,DJ Campbell,IOL
3,Drew Allar,QB
7,Dalton Johnson,S
2.2,Malachi Lawrence,EDGE
7,Evan Beerntsen,IOL
3,Jadon Canady,CB
2.2,Chris Johnson,CB
5,Michael Taaffe,S
7,Chase Roberts,WR
2.2,Cashius Howell,EDGE
4,Demond Claiborne,RB
4,Bryce Lance,WR
7,Luke Altmyer,QB
2.2,Christen Miller,DL
2.2,R Mason Thomas,EDGE
5,Eli Heidenreich,RB
